year,season,host_country,bronze_host,silver_host,gold_host,total_host,baseline_bronze,baseline_silver,baseline_gold,baseline_total,host_effect_bronze,host_effect_silver,host_effect_gold,host_effect_total,bronze_medal_2_before,silver_count_2_before,gold_medal_2_before,total_medal_2_before,bronze_medal_1_before,silver_count_1_before,gold_medal_1_before,total_medal_1_before,bronze_medal_1_after,silver_count_1_after,gold_medal_1_after,total_medal_1_after,bronze_medal_2_after,silver_count_2_after,gold_medal_2_after,total_medal_2_after
1896,Summer,Greece,19.0,18.0,10.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0
1900,Summer,France,35.0,36.0,26.0,97.0,1.0,2.5,2.5,6.0,3400.0,1340.0,940.0,1516.7,N/A,N/A,N/A,N/A,2.0,4.0,5.0,11.0,0.0,1.0,0.0,1.0,9.0,5.0,5.0,19.0
1904,Summer,United States,77.0,78.0,76.0,231.0,13.5,13.0,21.0,47.5,470.4,500.0,261.9,386.3,2.0,7.0,11.0,20.0,15.0,14.0,19.0,48.0,12.0,12.0,23.0,47.0,19.0,19.0,25.0,63.0
1908,Summer,Great Britain,39.0,51.0,56.0,146.0,8.0,7.5,5.0,20.5,387.5,580.0,1020.0,612.2,9.0,8.0,15.0,32.0,0.0,1.0,1.0,2.0,16.0,14.0,9.0,39.0,13.0,15.0,14.0,42.0
1912,Summer,Sweden,17.0,24.0,24.0,65.0,18.0,13.0,13.5,44.5,-5.6,84.6,77.8,46.1,N/A,N/A,N/A,N/A,11.0,6.0,8.0,25.0,25.0,20.0,19.0,64.0,12.0,13.0,4.0,29.0
1920,Summer,Belgium,11.0,11.0,14.0,36.0,3.0,4.0,2.5,9.5,266.7,175.0,460.0,278.9,2.0,5.0,1.0,8.0,3.0,1.0,2.0,6.0,3.0,7.0,3.0,13.0,2.0,1.0,0.0,3.0
1924,Summer,France,10.0,15.0,13.0,38.0,9.0,14.5,7.5,31.0,11.1,3.4,73.3,22.6,3.0,4.0,7.0,14.0,13.0,19.0,9.0,41.0,5.0,10.0,6.0,21.0,4.0,5.0,10.0,19.0
1924,Winter,France,3.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,-100.0,200.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
1928,Summer,Netherlands,4.0,9.0,6.0,19.0,2.5,3.0,3.0,8.5,60.0,200.0,100.0,123.5,5.0,2.0,4.0,11.0,5.0,1.0,4.0,10.0,0.0,5.0,2.0,7.0,6.0,4.0,5.0,15.0
1928,Winter,Switzerland,1.0,0.0,0.0,1.0,0.5,0.5,1.0,2.0,100.0,-100.0,-100.0,-50.0,N/A,N/A,N/A,N/A,1.0,0.0,2.0,3.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,3.0
1932,Summer,United States,30.0,32.0,41.0,103.0,13.5,19.0,23.0,55.5,122.2,68.4,78.3,85.6,27.0,27.0,45.0,99.0,16.0,18.0,22.0,56.0,11.0,20.0,24.0,55.0,19.0,27.0,38.0,84.0
1932,Winter,United States,2.0,4.0,6.0,12.0,2.5,1.0,1.5,5.0,-20.0,300.0,300.0,140.0,1.0,2.0,1.0,4.0,2.0,2.0,2.0,6.0,3.0,0.0,1.0,4.0,2.0,4.0,3.0,9.0
1936,Summer,Germany,29.0,24.0,31.0,84.0,5.0,12.0,3.0,20.0,480.0,100.0,933.3,320.0,14.0,7.0,9.0,30.0,5.0,12.0,3.0,20.0,N/A,N/A,N/A,N/A,15.0,7.0,0.0,22.0
1936,Winter,Germany,0.0,3.0,3.0,6.0,2.0,0.0,0.0,2.0,-100.0,0.0,0.0,200.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,N/A,N/A,N/A,N/A,2.0,2.0,3.0,7.0
1948,Summer,Great Britain,6.0,14.0,3.0,23.0,5.0,4.5,2.5,12.0,20.0,211.1,20.0,91.7,5.0,7.0,4.0,16.0,2.0,7.0,4.0,13.0,8.0,2.0,1.0,11.0,9.0,7.0,5.0,21.0
1948,Winter,Switzerland,3.0,4.0,3.0,10.0,1.0,1.0,0.5,2.5,200.0,300.0,500.0,300.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,3.0,2.0,0.0,0.0,2.0,1.0,2.0,3.0,6.0
1952,Summer,Finland,13.0,3.0,4.0,20.0,8.0,4.0,5.5,17.5,62.5,-25.0,-27.3,14.3,6.0,6.0,7.0,19.0,5.0,7.0,8.0,20.0,11.0,1.0,3.0,15.0,3.0,1.0,1.0,5.0
1952,Winter,Norway,6.0,3.0,7.0,16.0,2.0,2.0,3.0,7.0,200.0,50.0,133.3,128.6,3.0,5.0,7.0,15.0,3.0,3.0,4.0,10.0,1.0,1.0,2.0,4.0,0.0,3.0,3.0,6.0
1956,Winter,Italy,0.0,2.0,1.0,3.0,1.0,0.0,0.5,1.5,-100.0,0.0,100.0,100.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,3.0,1.0,0.0,4.0
1960,Summer,Italy,13.0,10.0,13.0,36.0,7.5,8.0,9.0,24.5,73.3,25.0,44.4,46.9,4.0,9.0,8.0,21.0,8.0,6.0,8.0,22.0,7.0,10.0,10.0,27.0,9.0,4.0,3.0,16.0
1960,Winter,United States,3.0,4.0,3.0,10.0,3.0,2.5,1.5,7.0,0.0,60.0,100.0,42.9,1.0,6.0,4.0,11.0,2.0,3.0,2.0,7.0,4.0,2.0,1.0,7.0,1.0,5.0,1.0,7.0
1964,Winter,Austria,3.0,5.0,4.0,12.0,3.5,3.0,2.0,8.5,-14.3,66.7,100.0,41.2,4.0,3.0,4.0,11.0,3.0,2.0,1.0,6.0,4.0,4.0,3.0,11.0,2.0,2.0,1.0,5.0
1964,Summer,Japan,8.0,5.0,16.0,29.0,7.0,7.0,7.5,21.5,14.3,-28.6,113.3,34.9,5.0,10.0,4.0,19.0,7.0,7.0,4.0,18.0,7.0,7.0,11.0,25.0,8.0,8.0,13.0,29.0
1968,Winter,France,2.0,3.0,4.0,9.0,1.0,2.5,1.5,5.0,100.0,20.0,166.7,80.0,2.0,0.0,1.0,3.0,0.0,4.0,3.0,7.0,2.0,1.0,0.0,3.0,1.0,0.0,0.0,1.0
1968,Summer,Mexico,3.0,3.0,3.0,9.0,0.5,0.5,0.0,1.0,500.0,500.0,0.0,800.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0
1972,Summer,Germany,16.0,11.0,13.0,40.0,13.5,11.5,7.5,32.5,18.5,-4.3,73.3,23.1,18.0,22.0,10.0,50.0,10.0,11.0,5.0,26.0,17.0,12.0,10.0,39.0,42.0,37.0,47.0,126.0
1972,Winter,Japan,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1976,Winter,Austria,2.0,2.0,2.0,6.0,2.0,2.0,2.0,6.0,0.0,0.0,0.0,0.0,4.0,4.0,3.0,11.0,2.0,2.0,1.0,5.0,2.0,2.0,3.0,7.0,1.0,0.0,0.0,1.0
1976,Summer,Canada,6.0,5.0,0.0,11.0,3.0,2.0,0.0,5.0,100.0,150.0,0.0,120.0,1.0,3.0,1.0,5.0,3.0,2.0,0.0,5.0,N/A,N/A,N/A,N/A,16.0,18.0,10.0,44.0
1980,Winter,United States,2.0,4.0,6.0,12.0,2.0,3.5,3.5,9.0,0.0,14.3,71.4,33.3,3.0,2.0,3.0,8.0,4.0,3.0,3.0,10.0,0.0,4.0,4.0,8.0,3.0,1.0,2.0,6.0
1980,Summer,Russia,46.0,69.0,80.0,195.0,35.0,41.0,49.0,125.0,31.4,68.3,63.3,56.0,22.0,27.0,50.0,99.0,35.0,41.0,49.0,125.0,N/A,N/A,N/A,N/A,46.0,31.0,55.0,132.0
1984,Summer,United States,30.0,61.0,83.0,174.0,27.0,31.0,36.0,94.0,11.1,96.8,130.6,85.1,25.0,35.0,34.0,94.0,N/A,N/A,N/A,N/A,27.0,31.0,36.0,94.0,37.0,34.0,37.0,108.0
1984,Winter,Yugoslavia,0.0,1.0,0.0,1.0,0.5,1.0,0.0,1.5,-100.0,0.0,0.0,-33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0
1988,Winter,Canada,3.0,2.0,0.0,5.0,1.5,2.0,2.0,5.5,100.0,0.0,-100.0,-9.1,1.0,1.0,0.0,2.0,1.0,1.0,2.0,4.0,2.0,3.0,2.0,7.0,4.0,6.0,3.0,13.0
1988,Summer,South Korea,11.0,10.0,12.0,33.0,9.5,5.5,9.0,24.0,15.8,81.8,33.3,37.5,N/A,N/A,N/A,N/A,7.0,6.0,6.0,19.0,12.0,5.0,12.0,29.0,5.0,15.0,7.0,27.0
1992,Winter,France,1.0,5.0,3.0,9.0,2.5,0.5,0.5,3.5,-60.0,900.0,500.0,157.1,2.0,1.0,0.0,3.0,1.0,0.0,1.0,2.0,4.0,1.0,0.0,5.0,5.0,1.0,2.0,8.0
1992,Summer,Spain,2.0,7.0,13.0,22.0,4.0,3.5,3.0,10.5,-50.0,100.0,333.3,109.5,2.0,2.0,1.0,5.0,2.0,1.0,1.0,4.0,6.0,6.0,5.0,17.0,5.0,3.0,3.0,11.0
1994,Winter,Norway,5.0,11.0,10.0,26.0,5.0,8.0,9.5,22.5,0.0,37.5,5.3,15.6,2.0,3.0,0.0,5.0,5.0,6.0,9.0,20.0,5.0,10.0,10.0,25.0,7.0,5.0,13.0,25.0
1996,Summer,United States,25.0,32.0,44.0,101.0,34.5,29.0,37.0,100.5,-27.5,10.3,18.9,0.5,27.0,31.0,36.0,94.0,37.0,34.0,37.0,108.0,32.0,24.0,37.0,93.0,26.0,39.0,36.0,101.0
1998,Winter,Japan,4.0,1.0,5.0,10.0,1.5,1.5,0.5,3.5,166.7,-33.3,900.0,185.7,4.0,2.0,1.0,7.0,2.0,2.0,1.0,5.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0
2000,Summer,Australia,17.0,25.0,16.0,58.0,20.0,12.5,13.0,45.5,-15.0,100.0,23.1,27.5,11.0,9.0,7.0,27.0,23.0,9.0,9.0,41.0,17.0,16.0,17.0,50.0,17.0,15.0,14.0,46.0
2002,Winter,United States,11.0,13.0,10.0,34.0,5.5,6.0,7.5,19.0,100.0,116.7,33.3,78.9,2.0,5.0,6.0,13.0,4.0,3.0,6.0,13.0,7.0,9.0,9.0,25.0,13.0,15.0,9.0,37.0
2004,Summer,Greece,4.0,6.0,6.0,16.0,2.0,4.0,2.0,8.0,100.0,50.0,200.0,100.0,0.0,4.0,4.0,8.0,3.0,6.0,4.0,13.0,1.0,2.0,0.0,3.0,2.0,0.0,0.0,2.0
2006,Winter,Italy,6.0,0.0,5.0,11.0,4.0,2.5,2.5,9.0,50.0,-100.0,100.0,22.2,2.0,6.0,2.0,10.0,5.0,4.0,4.0,13.0,3.0,1.0,1.0,5.0,6.0,2.0,0.0,8.0
2008,Summer,China,30.0,22.0,48.0,100.0,18.0,24.0,35.0,77.0,66.7,-8.3,37.1,29.9,14.0,16.0,28.0,58.0,14.0,17.0,32.0,63.0,22.0,31.0,38.0,91.0,26.0,18.0,26.0,70.0
2010,Winter,Canada,5.0,7.0,14.0,26.0,6.0,10.0,8.5,24.5,-16.7,-30.0,64.7,6.1,7.0,3.0,7.0,17.0,7.0,10.0,7.0,24.0,5.0,10.0,10.0,25.0,10.0,8.0,11.0,29.0
2012,Summer,Great Britain,19.0,17.0,29.0,65.0,18.0,18.0,23.0,59.0,5.6,-5.6,26.1,10.2,12.0,9.0,9.0,30.0,19.0,13.0,19.0,51.0,17.0,23.0,27.0,67.0,22.0,21.0,22.0,65.0
2014,Winter,Russia,9.0,9.0,11.0,29.0,8.0,5.5,2.5,16.0,12.5,63.6,340.0,81.3,8.0,6.0,8.0,22.0,7.0,5.0,3.0,15.0,9.0,6.0,2.0,17.0,N/A,N/A,N/A,N/A
2016,Summer,Brazil,6.0,6.0,7.0,19.0,8.5,5.5,4.5,18.5,-29.4,9.1,55.6,2.7,10.0,4.0,3.0,17.0,9.0,5.0,3.0,17.0,8.0,6.0,6.0,20.0,N/A,N/A,N/A,N/A
2018,Winter,South Korea,4.0,8.0,5.0,17.0,2.0,4.0,2.5,8.5,100.0,100.0,100.0,100.0,2.0,6.0,6.0,14.0,2.0,3.0,3.0,8.0,2.0,5.0,2.0,9.0,N/A,N/A,N/A,N/A
2020,Summer,Japan,17.0,13.0,27.0,57.0,21.0,8.0,12.0,41.0,-19.0,62.5,125.0,39.0,17.0,14.0,7.0,38.0,21.0,8.0,12.0,41.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2022,Winter,China,2.0,4.0,9.0,15.0,2.0,6.0,1.0,9.0,0.0,-33.3,800.0,66.7,2.0,4.0,3.0,9.0,2.0,6.0,1.0,9.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A